,gvkey_focal,year,gvkey1,gvkey2,score,gvkey_peer,focal_ticker,focal_company_name,focal_cik,focal_primary_sic,peer_ticker,peer_company_name
18202,031587,2008,31587,4016,0.066,004016,DLTR,Dollar Tree Inc.,0000935703,5331,DG,Dollar General Corp.
18208,031587,2008,31587,6829,0.0078,006829,DLTR,Dollar Tree Inc.,0000935703,5331,LOW,Lowes Companies Inc.
18210,031587,2008,31587,11259,0.0133,011259,DLTR,Dollar Tree Inc.,0000935703,5331,WMT,Walmart Inc.
18212,031587,2008,31587,11672,0.0053,011672,DLTR,Dollar Tree Inc.,0000935703,5331,TJX,TJX Companies Inc.
18254,160329,2008,160329,1690,0.0142,001690,GOOGL,Alphabet Inc.,0001652044,7389,AAPL,Apple Inc.
18348,001690,2009,1690,12141,0.0093,012141,AAPL,Apple Inc.,0000320193,3571,MSFT,Microsoft Corp.
18390,001690,2009,1690,160329,0.0105,160329,AAPL,Apple Inc.,0000320193,3571,GOOGL,Alphabet Inc.
18398,002184,2009,2184,11672,0.0174,011672,BBY,Best Buy Co. Inc.,0000764478,5731,TJX,TJX Companies Inc.
18408,002184,2009,2184,31587,0.003,031587,BBY,Best Buy Co. Inc.,0000764478,5731,DLTR,Dollar Tree Inc.
18444,006502,2009,6502,11259,0.0668,011259,KR,Kroger Co.,0000056873,5411,WMT,Walmart Inc.
18491,007241,2009,7241,11264,0.0345,011264,CVS,CVS Health Corp.,0000064803,5912,WBA,Walgreens Boots Alliance Inc.
18597,011259,2009,11259,6502,0.0668,006502,WMT,Walmart Inc.,0000104169,5331,KR,Kroger Co.
18607,011259,2009,11259,11672,0.0198,011672,WMT,Walmart Inc.,0000104169,5331,TJX,TJX Companies Inc.
18616,011259,2009,11259,31587,0.0217,031587,WMT,Walmart Inc.,0000104169,5331,DLTR,Dollar Tree Inc.
18622,011264,2009,11264,7241,0.0345,007241,WBA,Walgreens Boots Alliance Inc.,0001618921,5912,CVS,CVS Health Corp.
18626,011672,2009,11672,2184,0.0174,002184,TJX,TJX Companies Inc.,0000109198,5651,BBY,Best Buy Co. Inc.
18653,011672,2009,11672,11259,0.0198,011259,TJX,TJX Companies Inc.,0000109198,5651,WMT,Walmart Inc.
18732,012141,2009,12141,1690,0.0093,001690,MSFT,Microsoft Corp.,0000789019,7372,AAPL,Apple Inc.
18799,012141,2009,12141,160329,0.0033,160329,MSFT,Microsoft Corp.,0000789019,7372,GOOGL,Alphabet Inc.
18814,031587,2009,31587,2184,0.003,002184,DLTR,Dollar Tree Inc.,0000935703,5331,BBY,Best Buy Co. Inc.
18822,031587,2009,31587,11259,0.0217,011259,DLTR,Dollar Tree Inc.,0000935703,5331,WMT,Walmart Inc.
18862,160329,2009,160329,1690,0.0105,001690,GOOGL,Alphabet Inc.,0001652044,7389,AAPL,Apple Inc.
18866,160329,2009,160329,12141,0.0033,012141,GOOGL,Alphabet Inc.,0001652044,7389,MSFT,Microsoft Corp.
18946,001690,2010,1690,12141,0.0118,012141,AAPL,Apple Inc.,0000320193,3571,MSFT,Microsoft Corp.
